# Attribute keys of go.opentelemetry.io/otel/semconv/v1.43.0, from module go.opentelemetry.io/otel v1.46.0.
# Columns: attribute<TAB>go constant.
hw.tape_drive.operation_type	HwTapeDriveOperationTypeKey
hw.type	HwTypeKey
hw.vendor	HwVendorKey
ios.app.state	IOSAppStateKey
jsonrpc.protocol.version	JSONRPCProtocolVersionKey
jsonrpc.request.id	JSONRPCRequestIDKey
k8s.cluster.name	K8SClusterNameKey
k8s.cluster.uid	K8SClusterUIDKey
k8s.container.ephemeral_storage.fs_type	K8SContainerEphemeralStorageFsTypeKey
k8s.container.name	K8SContainerNameKey
k8s.container.restart_count	K8SContainerRestartCountKey
k8s.container.status.last_terminated_reason	K8SContainerStatusLastTerminatedReasonKey
k8s.container.status.reason	K8SContainerStatusReasonKey
k8s.container.status.state	K8SContainerStatusStateKey
k8s.cronjob.name	K8SCronJobNameKey
k8s.cronjob.uid	K8SCronJobUIDKey
k8s.daemonset.name	K8SDaemonSetNameKey
k8s.daemonset.uid	K8SDaemonSetUIDKey
k8s.deployment.name	K8SDeploymentNameKey
k8s.deployment.uid	K8SDeploymentUIDKey
k8s.hpa.metric.type	K8SHPAMetricTypeKey
k8s.hpa.name	K8SHPANameKey
k8s.hpa.scaletargetref.api_version	K8SHPAScaletargetrefAPIVersionKey
k8s.hpa.scaletargetref.kind	K8SHPAScaletargetrefKindKey
k8s.hpa.scaletargetref.name	K8SHPAScaletargetrefNameKey
k8s.hpa.uid	K8SHPAUIDKey
k8s.hugepage.size	K8SHugepageSizeKey
k8s.job.name	K8SJobNameKey
k8s.job.uid	K8SJobUIDKey
k8s.namespace.name	K8SNamespaceNameKey
k8s.namespace.phase	K8SNamespacePhaseKey
k8s.node.condition.status	K8SNodeConditionStatusKey
k8s.node.condition.type	K8SNodeConditionTypeKey
k8s.node.name	K8SNodeNameKey
k8s.node.system_container.name	K8SNodeSystemContainerNameKey
k8s.node.uid	K8SNodeUIDKey
k8s.persistentvolume.name	K8SPersistentvolumeNameKey
k8s.persistentvolume.reclaim_policy	K8SPersistentvolumeReclaimPolicyKey
k8s.persistentvolume.status.phase	K8SPersistentvolumeStatusPhaseKey
k8s.persistentvolume.uid	K8SPersistentvolumeUIDKey
k8s.persistentvolumeclaim.name	K8SPersistentvolumeclaimNameKey
k8s.persistentvolumeclaim.status.phase	K8SPersistentvolumeclaimStatusPhaseKey
k8s.persistentvolumeclaim.uid	K8SPersistentvolumeclaimUIDKey
k8s.pod.hostname	K8SPodHostnameKey
k8s.pod.ip	K8SPodIPKey
k8s.pod.name	K8SPodNameKey
k8s.pod.start_time	K8SPodStartTimeKey
k8s.pod.status.phase	K8SPodStatusPhaseKey
k8s.pod.status.reason	K8SPodStatusReasonKey
k8s.pod.uid	K8SPodUIDKey
k8s.replicaset.name	K8SReplicaSetNameKey
k8s.replicaset.uid	K8SReplicaSetUIDKey
k8s.replicationcontroller.name	K8SReplicationControllerNameKey
k8s.replicationcontroller.uid	K8SReplicationControllerUIDKey
k8s.resourcequota.name	K8SResourceQuotaNameKey
k8s.resourcequota.resource_name	K8SResourceQuotaResourceNameKey
k8s.resourcequota.uid	K8SResourceQuotaUIDKey
k8s.service.endpoint.address_type	K8SServiceEndpointAddressTypeKey
k8s.service.endpoint.condition	K8SServiceEndpointConditionKey
k8s.service.endpoint.zone	K8SServiceEndpointZoneKey
k8s.service.name	K8SServiceNameKey
k8s.service.publish_not_ready_addresses	K8SServicePublishNotReadyAddressesKey
k8s.service.traffic_distribution	K8SServiceTrafficDistributionKey
k8s.service.type	K8SServiceTypeKey
k8s.service.uid	K8SServiceUIDKey
k8s.statefulset.name	K8SStatefulSetNameKey
